ID,NAME,RANKING,COUNTRY
1,Novak Djokovic,1,Serbia
2,Andy Murray,2,Great Britain
3,Kei Nishikori,5,Japan
4,Marin Cilic,9,Croatia
5,Gilles Simon,11,France
6,David Goffin,14,Belgium
7,John Isner,18,USA
8,Feliciano Lopez,19,Spain
