ID,PLAYER_ID,NAME,COUNTRY
1,1,Boris Becker,Germany
2,1,Marian Vajda,Slovakia
3,2,Amelie Mauresmo,France
4,3,Dante Bottini,Argentine
5,3,Michael Chang,USA
6,4,Goran Ivanisevic,Croatia
7,5,Jan de Witt,Netherlands
8,6,Thierry Van Cleemput,Belgium
9,7,Justin Gimelstob,USA
10,8,Jose Clavet,Spain
11,0,Martina Navratilova,Czech
12,0,Jim Courier,USA
