ID,PERSON,COUNTRY,YEAR,PLACE
1,Clara Hughes,Canada,1996,3
2,Christa Luding-Rothenburger,East Germany,1988,2
3,Lizzie Armitstead,Great Britain,2012,2
4,Guo Shuang,China,2008,3
5,Sabine Spitz,Germany,2004,3
6,Paola Pezzo,Italy,1996,1
7,Lori-Ann Muenzer,Canada,2004,1
8,Oksana Grishina,Russia,2000,2
